day,feature,model,requests,avg_input_tokens,avg_output_tokens,cost_usd
22,triage_routing,gpt-4o-mini,796,489.8,24.4,0.0701
22,triage_routing,gpt-4o,266,489.8,30.0,0.4055
22,insurance_verification,gpt-4o-mini,597,489.0,26.2,0.0532
22,insurance_verification,gpt-4o,199,489.0,29.6,0.3022
22,medication_calculation,gpt-4o-mini,286,498.4,42.8,0.0287
22,medication_calculation,gpt-4o,96,498.4,41.0,0.159
23,triage_routing,gpt-4o-mini,842,489.8,24.4,0.0742
23,triage_routing,gpt-4o,281,489.8,30.0,0.4284
23,insurance_verification,gpt-4o-mini,572,489.0,26.2,0.0509
23,insurance_verification,gpt-4o,190,489.0,29.6,0.2885
23,medication_calculation,gpt-4o-mini,319,498.4,42.8,0.032
23,medication_calculation,gpt-4o,106,498.4,41.0,0.1755
24,triage_routing,gpt-4o-mini,898,489.8,24.4,0.0791
24,triage_routing,gpt-4o,299,489.8,30.0,0.4558
24,insurance_verification,gpt-4o-mini,592,489.0,26.2,0.0527
24,insurance_verification,gpt-4o,197,489.0,29.6,0.2991
24,medication_calculation,gpt-4o-mini,392,498.4,42.8,0.0394
24,medication_calculation,gpt-4o,130,498.4,41.0,0.2153
25,triage_routing,gpt-4o-mini,899,489.8,24.4,0.0792
25,triage_routing,gpt-4o,300,489.8,30.0,0.4573
25,insurance_verification,gpt-4o-mini,544,489.0,26.2,0.0485
25,insurance_verification,gpt-4o,181,489.0,29.6,0.2748
25,medication_calculation,gpt-4o-mini,318,498.4,42.8,0.0319
25,medication_calculation,gpt-4o,106,498.4,41.0,0.1755
26,triage_routing,gpt-4o-mini,808,489.8,24.4,0.0712
26,triage_routing,gpt-4o,269,489.8,30.0,0.4101
26,insurance_verification,gpt-4o-mini,621,489.0,26.2,0.0553
26,insurance_verification,gpt-4o,207,489.0,29.6,0.3143
26,medication_calculation,gpt-4o-mini,321,498.4,42.8,0.0322
26,medication_calculation,gpt-4o,107,498.4,41.0,0.1772
27,triage_routing,gpt-4o-mini,869,489.8,24.4,0.0766
27,triage_routing,gpt-4o,290,489.8,30.0,0.4421
27,insurance_verification,gpt-4o-mini,618,489.0,26.2,0.055
27,insurance_verification,gpt-4o,206,489.0,29.6,0.3128
27,medication_calculation,gpt-4o-mini,320,498.4,42.8,0.0321
27,medication_calculation,gpt-4o,107,498.4,41.0,0.1772
28,triage_routing,gpt-4o-mini,862,489.8,24.4,0.076
28,triage_routing,gpt-4o,288,489.8,30.0,0.4391
28,insurance_verification,gpt-4o-mini,502,489.0,26.2,0.0447
28,insurance_verification,gpt-4o,167,489.0,29.6,0.2536
28,medication_calculation,gpt-4o-mini,314,498.4,42.8,0.0315
28,medication_calculation,gpt-4o,104,498.4,41.0,0.1722
29,triage_routing,gpt-4o-mini,851,489.8,24.4,0.075
29,triage_routing,gpt-4o,284,489.8,30.0,0.433
29,insurance_verification,gpt-4o-mini,614,489.0,26.2,0.0547
29,insurance_verification,gpt-4o,205,489.0,29.6,0.3113
29,medication_calculation,gpt-4o-mini,380,498.4,42.8,0.0382
29,medication_calculation,gpt-4o,127,498.4,41.0,0.2103
30,triage_routing,gpt-4o-mini,899,489.8,24.4,0.0792
30,triage_routing,gpt-4o,300,489.8,30.0,0.4573
30,insurance_verification,gpt-4o-mini,613,489.0,26.2,0.0546
30,insurance_verification,gpt-4o,204,489.0,29.6,0.3098
30,medication_calculation,gpt-4o-mini,355,498.4,42.8,0.0357
30,medication_calculation,gpt-4o,118,498.4,41.0,0.1954
