id,feature,channel,model,question,clinical_reference,model_answer,bleu,rouge_l,token_f1,correctness,groundedness,relevance,helpfulness,overall_alignment,latency_ms,input_tokens,output_tokens
MC-05,medication_calculation,Web Portal,gpt-4o-mini,"For a dose of 1000 mg with a concentration of 200 mg/mL, what volume is needed, and what unit should be stated?",Using volume_ml = prescribed_dose_mg / concentration_mg_per_ml: 1000 / 200 = 5.00 mL. The unit (mL) should always be clearly stated in the answer.,"The volume needed is 5 mL, calculated using the formula: volume_ml = prescribed_dose_mg / concentration_mg_per_ml (1000 mg / 200 mg/mL = 5 mL). The unit to be stated is mL.",40.94,0.6102,0.678,5,5,5,5,5,1266.1,504,53
TR-01,triage_routing,USSD,gpt-4o,I am having severe chest pain and I can't catch my breath.,This should be routed to emergency care immediately. Severe chest pain and severe difficulty breathing are both listed emergency symptoms that require urgent action.,"You are experiencing severe chest pain and difficulty breathing, which are considered emergencies. Please seek emergency care immediately.",15.52,0.381,0.4762,5,5,5,5,5,1247.2,487,21
TR-02,triage_routing,Mobile App,gpt-4o,My father suddenly can't move the left side of his face and is slurring his words.,"This should be routed to emergency care immediately. Facial weakness and difficulty speaking are signs of stroke, which require immediate emergency routing.","Your father is showing signs of a stroke, which is an emergency. Please route him to emergency care immediately.",21.7,0.2927,0.439,5,5,5,5,5,999.9,492,22
TR-03,triage_routing,Web Portal,gpt-4o,I have had a persistent high fever for three days and now I'm vomiting repeatedly and feel dehydrated.,"This patient should receive urgent clinical review. Persistent high fever combined with persistent vomiting and signs of dehydration are urgent clinical review indicators, not routine care.",You should seek urgent clinical review. Persistent high fever combined with repeated vomiting and signs of dehydration requires prompt medical attention. Please visit a healthcare facility as soon as possible.,35.36,0.5,0.5,5,5,5,5,5,1212.5,494,33
TR-04,triage_routing,USSD,gpt-4o,"I just have a mild cold with a runny nose, nothing else.",This can be routed to routine outpatient care. Mild cold symptoms with no worsening or emergency indicators are a routine care example.,"For mild cold symptoms like a runny nose, you should seek routine care. You can manage these symptoms with over-the-counter medications and rest. If you have any further questions or need a routine follow-up, feel free to schedule an appointment.",3.81,0.2154,0.3385,5,5,5,5,5,1847.7,489,49
TR-05,triage_routing,Mobile App,gpt-4o,My child had a seizure that has now lasted about seven minutes.,This should be routed to emergency care immediately. Seizures lasting more than five minutes are an explicit emergency symptom.,"This is an emergency situation. Please route to emergency care immediately, as seizures lasting more than five minutes require urgent medical attention.",26.38,0.5854,0.6341,5,5,5,5,5,1226.3,487,25
IV-01,insurance_verification,Web Portal,gpt-4o,"Is an outpatient MRI covered by my AfyaPlus plan, and do I need approval first?","Outpatient MRI scans are covered when requested by a registered physician, but they require pre-authorisation before the procedure. The standard outpatient MRI co-payment is KES 2,000.","Yes, an outpatient MRI is covered by your AfyaPlus plan when requested by a registered physician. However, it requires pre-authorisation before the procedure. The standard outpatient MRI co-payment is KES 2,000.",50.61,0.7937,0.7619,5,5,5,5,5,1440.7,493,45
IV-02,insurance_verification,USSD,gpt-4o,"I need an emergency CT scan right now, do I need pre-authorisation?",No. Emergency CT scans may proceed without prior authorisation when the attending clinician determines that immediate imaging is medically necessary.,"No, you do not need pre-authorisation for an emergency CT scan. Emergency CT scans can proceed without prior authorisation when they are immediately necessary.",24.18,0.4889,0.4444,5,5,5,5,5,1328.8,490,30
IV-03,insurance_verification,Mobile App,gpt-4o,Can I see a specialist without a referral from my regular doctor?,Routine specialist consultations require a valid referral from a registered primary care clinician. Emergency specialist consultations do not require a referral.,"You can see a specialist without a referral only in emergency situations. For non-emergency specialist consultations, a valid referral from a registered primary care clinician is required for coverage under AfyaPlus insurance.",27.04,0.4444,0.5556,5,5,5,5,5,1287.8,487,39
IV-04,insurance_verification,Web Portal,gpt-4o,Do I need pre-authorisation for a routine blood test ordered by my doctor?,Routine laboratory tests are covered when ordered by a registered clinician and generally do not need pre-authorisation. Specialised laboratory tests may require pre-authorisation depending on the patient's benefit plan.,"No, routine blood tests ordered by a registered clinician are covered and do not require pre-authorisation.",15.02,0.5306,0.6122,5,5,5,5,5,2111.2,490,20
IV-05,insurance_verification,USSD,gpt-4o,What is my co-payment for an outpatient MRI scan?,"The standard outpatient MRI co-payment under the AfyaPlus policy is KES 2,000.","The standard outpatient MRI co-payment is KES 2,000.",47.94,0.8333,0.8333,5,5,5,5,5,1006.0,485,14
MC-01,medication_calculation,Mobile App,gpt-4o,"The doctor prescribed 500 mg of a medication, and the available concentration is 250 mg/mL. What volume should be administered?",Using volume_ml = prescribed_dose_mg / concentration_mg_per_ml: 500 / 250 = 2.00 mL should be administered.,"The volume to be administered is calculated using the formula: volume_ml = prescribed_dose_mg / concentration_mg_per_ml. Therefore, the volume is 500 mg / 250 mg/mL = 2 mL.",40.72,0.5833,0.6667,5,5,5,5,5,1949.5,501,46
MC-02,medication_calculation,Web Portal,gpt-4o,"A patient needs 750 mg of a drug, and the concentration on hand is 250 mg/mL. How many mL should I give?",Using volume_ml = prescribed_dose_mg / concentration_mg_per_ml: 750 / 250 = 3.00 mL should be administered.,"To calculate the volume in mL, use the formula: volume_ml = prescribed_dose_mg / concentration_mg_per_ml. For this case, volume_ml = 750 mg / 250 mg/mL = 3 mL. You should give 3 mL.",32.93,0.566,0.5283,5,5,5,5,5,1855.1,504,57
MC-03,medication_calculation,USSD,gpt-4o,"Prescribed dose is 100 mg, but the concentration is not specified. Can you calculate the volume?",No. The calculation cannot proceed because the concentration is missing. Missing clinical values must be clarified instead of guessed; the volume should not be estimated.,I cannot calculate the volume without the concentration of the medication. Please provide the concentration in mg/mL for an accurate calculation.,4.45,0.2128,0.3404,5,5,5,5,5,1013.4,495,25
MC-04,medication_calculation,Mobile App,gpt-4o,The dose ordered is 0 mg. What volume should I administer?,The calculation cannot be performed for a zero dose. Zero or negative doses are invalid and clarification should be requested rather than returning a computed volume.,The volume cannot be calculated because the dose is 0 mg. Please verify the prescribed dose with the prescribing clinician.,3.6,0.2174,0.2174,5,5,5,5,5,1241.3,488,23
MC-05,medication_calculation,Web Portal,gpt-4o,"For a dose of 1000 mg with a concentration of 200 mg/mL, what volume is needed, and what unit should be stated?",Using volume_ml = prescribed_dose_mg / concentration_mg_per_ml: 1000 / 200 = 5.00 mL. The unit (mL) should always be clearly stated in the answer.,"The volume needed is calculated using the formula: volume_ml = prescribed_dose_mg / concentration_mg_per_ml. Therefore, volume_ml = 1000 mg / 200 mg/mL = 5 mL. The unit to be stated is mL.",39.5,0.6,0.6667,5,5,5,5,5,1356.5,504,54
