month,request_index,base_question_id,feature,channel,simulated_question,model_answer,rouge_l,latency_ms,input_token_length
1,11,MC-03,medication_calculation,USSD,"Prescribed dose is 100 mg, but the concentration is not specified. Can you calculate the volume?",I cannot perform the calculation because the concentration is missing. Please provide the concentration in mg per mL for accurate volume calculation.,0.383,1110.8,21
1,12,TR-03,triage_routing,Web Portal,I have had a persistent high fever for three days and now I'm vomiting repeatedly and feel dehydrated.,You should seek urgent clinical review immediately due to your persistent high fever and signs of dehydration from vomiting. Please contact your healthcare provider or visit the nearest urgent care facility.,0.4561,1268.3,20
1,13,IV-02,insurance_verification,USSD,"I need an emergency CT scan right now, do I need pre-authorisation?","No, you do not need pre-authorisation for an emergency CT scan when it is immediately necessary. Please proceed to emergency care for the scan.",0.3111,1117.9,16
1,14,MC-02,medication_calculation,Web Portal,"A patient needs 750 mg of a drug, and the concentration on hand is 250 mg/mL. How many mL should I give?","To calculate the volume, use the formula: volume_ml = prescribed_dose_mg / concentration_mg_per_ml. 

Here, volume_ml = 750 mg / 250 mg/mL = 3 mL. 

You should give 3 mL of the drug.",0.5769,1210.9,30
1,15,IV-01,insurance_verification,Web Portal,"Is an outpatient MRI covered by my AfyaPlus plan, and do I need approval first?","Yes, an outpatient MRI is covered by your AfyaPlus plan, but it requires pre-authorization before the procedure. The standard outpatient MRI co-payment is KES 2,000.",0.7018,1128.7,19
1,16,IV-05,insurance_verification,USSD,What is my co-payment for an outpatient MRI scan?,"The standard outpatient MRI co-payment is KES 2,000.",0.8333,1596.8,11
1,17,MC-01,medication_calculation,Mobile App,"The doctor prescribed 500 mg of a medication, and the available concentration is 250 mg/mL. What volume should be administered?","To calculate the volume to be administered, use the formula: volume_ml = prescribed_dose_mg / concentration_mg_per_ml. 

Here, volume_ml = 500 mg / 250 mg/mL = 2 mL. 

The volume to be administered is 2 mL.",0.5818,1244.4,27
1,18,MC-03,medication_calculation,USSD,"Prescribed dose is 100 mg, but the concentration is not specified. Can you calculate the volume?",I cannot perform the calculation because the concentration is missing. Please provide the concentration in mg per mL for accurate volume calculation.,0.383,2077.0,21
1,19,IV-02,insurance_verification,USSD,"I need an emergency CT scan right now, do I need pre-authorisation?","No, you do not need pre-authorisation for an emergency CT scan when it is immediately necessary. Proceed to emergency care for the scan.",0.3182,1040.7,16
1,20,MC-03,medication_calculation,USSD,"Prescribed dose is 100 mg, but the concentration is not specified. Can you calculate the volume?",I cannot perform the calculation because the concentration is missing. Please provide the concentration in mg per mL for accurate volume calculation.,0.383,1214.6,21
1,21,IV-05,insurance_verification,USSD,What is my co-payment for an outpatient MRI scan?,"The standard outpatient MRI co-payment is KES 2,000.",0.8333,1158.3,11
1,22,TR-04,triage_routing,USSD,"I just have a mild cold with a runny nose, nothing else.",You should seek routine care for your mild cold symptoms. This can include over-the-counter treatments or a follow-up appointment with a healthcare provider if needed.,0.28,1294.6,15
1,23,IV-05,insurance_verification,USSD,What is my co-payment for an outpatient MRI scan?,"The standard outpatient MRI co-payment is KES 2,000.",0.8333,1238.1,11
1,24,MC-05,medication_calculation,Web Portal,"For a dose of 1000 mg with a concentration of 200 mg/mL, what volume is needed, and what unit should be stated?","The volume needed is 5 mL, calculated using the formula: volume_ml = prescribed_dose_mg / concentration_mg_per_ml (1000 mg / 200 mg/mL = 5 mL). The unit to state is mL.",0.5862,1398.6,30
1,25,TR-01,triage_routing,USSD,I am having severe chest pain and I can't catch my breath.,You should seek emergency care immediately. Severe chest pain and difficulty breathing are critical symptoms that require urgent medical attention.,0.6818,1291.8,13
1,26,TR-01,triage_routing,USSD,I am having severe chest pain and I can't catch my breath.,You should seek emergency care immediately. Severe chest pain and difficulty breathing are critical symptoms that require urgent medical attention.,0.6818,1130.3,13
1,27,MC-02,medication_calculation,Web Portal,"A patient needs 750 mg of a drug, and the concentration on hand is 250 mg/mL. How many mL should I give?","To calculate the volume, use the formula: volume_ml = prescribed_dose_mg / concentration_mg_per_ml. 

Here, volume_ml = 750 mg / 250 mg/mL = 3 mL. 

You should give 3 mL of the drug.",0.5769,1380.6,30
1,28,MC-02,medication_calculation,Web Portal,"A patient needs 750 mg of a drug, and the concentration on hand is 250 mg/mL. How many mL should I give?","To calculate the volume, use the formula: volume_ml = prescribed_dose_mg / concentration_mg_per_ml. 

Here, volume_ml = 750 mg / 250 mg/mL = 3 mL. 

You should give 3 mL of the drug.",0.5769,1904.6,30
1,29,MC-02,medication_calculation,Web Portal,"A patient needs 750 mg of a drug, and the concentration on hand is 250 mg/mL. How many mL should I give?","To calculate the volume, use the formula: volume_ml = prescribed_dose_mg / concentration_mg_per_ml. 

Here, volume_ml = 750 mg / 250 mg/mL = 3 mL. 

You should give 3 mL of the drug.",0.5769,1311.9,30
2,0,IV-04,insurance_verification,Web Portal,"Hi, sorry to bother you, Do I need pre-authorisation for a routine blood test ordered by my doctor? Please advise when you can.","No, you do not need pre-authorisation for a routine blood test ordered by your doctor, as it is covered when ordered by a registered clinician.",0.3103,1449.9,29
2,1,IV-03,insurance_verification,Mobile App,"Hello, hope you're well. Can I see a specialist without a referral from my regular doctor? Sorry for the long message.","No problem! You can see a specialist without a referral if it is an emergency consultation. For non-emergency situations, a valid referral from a registered primary care clinician is required.",0.4615,1229.1,25
2,2,IV-02,insurance_verification,USSD,"Hi, sorry to bother you, I need an emergency CT scan right now, do I need pre-authorisation? Also, I'm not sure if that's related.","No, you do not need pre-authorisation for an emergency CT scan when it is immediately necessary. You can proceed with the scan without prior approval.",0.3043,1243.3,32
2,3,IV-02,insurance_verification,USSD,"Hello, hope you're well. I need an emergency CT scan right now, do I need pre-authorisation? Sorry for the long message.","No, you do not need pre-authorisation for an emergency CT scan if it is immediately necessary. Please proceed to emergency care for the scan.",0.2667,1121.5,28
2,4,TR-03,triage_routing,Web Portal,"Hello, hope you're well. I have had a persistent high fever for three days and now I'm vomiting repeatedly and feel dehydrated.",You should seek urgent clinical review immediately due to your persistent high fever and signs of dehydration from vomiting. Please contact your healthcare provider or visit the nearest clinic for evaluation and treatment.,0.4068,1231.3,26
2,5,MC-01,medication_calculation,Mobile App,"Hello, hope you're well. The doctor prescribed 500 mg of a medication, and the available concentration is 250 mg/mL. What volume should be administered?","To calculate the volume to be administered, use the formula: volume_ml = prescribed_dose_mg / concentration_mg_per_ml. 

Here, volume_ml = 500 mg / 250 mg/mL = 2 mL. 

Therefore, the volume to be administered is 2 mL.",0.5714,1344.0,33
2,6,MC-01,medication_calculation,Mobile App,"The doctor prescribed 500 mg of a medication, and the available concentration is 250 mg/mL. What volume should be administered? Please advise when you can.","To calculate the volume to be administered, use the formula: volume_ml = prescribed_dose_mg / concentration_mg_per_ml. 

Here, volume_ml = 500 mg / 250 mg/mL = 2 mL. 

The volume to be administered is 2 mL.",0.5818,1395.9,33
2,7,MC-02,medication_calculation,Web Portal,"A patient needs 750 mg of a drug, and the concentration on hand is 250 mg/mL. How many mL should I give? Sorry for the long message.","To calculate the volume, use the formula: volume_ml = prescribed_dose_mg / concentration_mg_per_ml. 

Here, volume_ml = 750 mg / 250 mg/mL = 3 mL. 

You should give 3 mL of the drug.",0.5769,1273.0,36
2,8,TR-02,triage_routing,Mobile App,"Umm, quick question, My father suddenly can't move the left side of his face and is slurring his words. Sorry for the long message.","Your father is showing signs of a stroke, which is a medical emergency. Please route him to emergency care immediately.",0.2857,1247.2,30
2,9,TR-03,triage_routing,Web Portal,"Hi, sorry to bother you, I have had a persistent high fever for three days and now I'm vomiting repeatedly and feel dehydrated.",You should seek urgent clinical review immediately due to your persistent high fever and signs of dehydration from vomiting. Please contact your healthcare provider or visit the nearest clinic for evaluation and treatment.,0.4068,1456.1,27
2,10,TR-02,triage_routing,Mobile App,"Hello, hope you're well. My father suddenly can't move the left side of his face and is slurring his words. Also, I'm not sure if that's related.",Your father's symptoms of facial weakness and slurred speech are concerning and may indicate a stroke. You should route him to emergency care immediately.,0.2553,1465.0,33
2,11,MC-05,medication_calculation,Web Portal,"Umm, quick question, For a dose of 1000 mg with a concentration of 200 mg/mL, what volume is needed, and what unit should be stated? Also, I'm not sure if that's related.","To calculate the volume needed, use the formula: volume_ml = prescribed_dose_mg / concentration_mg_per_ml. For a dose of 1000 mg and a concentration of 200 mg/mL, the calculation is 1000 mg / 200 mg/mL = 5 mL. The unit to state is mL.",0.4722,1463.4,45
2,12,IV-03,insurance_verification,Mobile App,"Hi, sorry to bother you, Can I see a specialist without a referral from my regular doctor? Also, I'm not sure if that's related.","You can see a specialist without a referral if it is an emergency situation. For non-emergency specialist consultations, a valid referral from a registered primary care clinician is required.",0.4706,1711.2,29
2,13,MC-02,medication_calculation,Web Portal,"A patient needs 750 mg of a drug, and the concentration on hand is 250 mg/mL. How many mL should I give?","To calculate the volume, use the formula: volume_ml = prescribed_dose_mg / concentration_mg_per_ml. 

Here, volume_ml = 750 mg / 250 mg/mL = 3 mL. 

You should give 3 mL of the drug.",0.5769,2778.5,30
2,14,TR-02,triage_routing,Mobile App,"Hi, sorry to bother you, My father suddenly can't move the left side of his face and is slurring his words. Also, I'm not sure if that's related.",Your father's symptoms of facial weakness and slurred speech are signs of a stroke. You should route him to emergency care immediately.,0.3556,1079.5,34
2,15,TR-04,triage_routing,USSD,"Umm, quick question, I just have a mild cold with a runny nose, nothing else. Please advise when you can.","For a mild cold with a runny nose, you should seek routine care. This can include over-the-counter treatments or a follow-up appointment with your primary care clinician if needed.",0.2222,1436.9,27
2,16,MC-03,medication_calculation,USSD,"Hi, sorry to bother you, Prescribed dose is 100 mg, but the concentration is not specified. Can you calculate the volume? Also, I'm not sure if that's related.",I cannot perform the medication calculation because the concentration is not specified. Please provide the concentration in mg per mL for an accurate volume calculation.,0.32,1430.8,37
2,17,IV-05,insurance_verification,USSD,"Hi, sorry to bother you, What is my co-payment for an outpatient MRI scan? Sorry for the long message.","No problem at all! The standard outpatient MRI co-payment is KES 2,000.",0.7143,1675.0,24
2,18,MC-02,medication_calculation,Web Portal,"Hi, sorry to bother you, A patient needs 750 mg of a drug, and the concentration on hand is 250 mg/mL. How many mL should I give? Please advise when you can.","To calculate the volume needed, use the formula: volume_ml = prescribed_dose_mg / concentration_mg_per_ml. 

Here, volume_ml = 750 mg / 250 mg/mL = 3 mL. 

You should give 3 mL of the drug.",0.566,1439.0,43
2,19,MC-02,medication_calculation,Web Portal,"A patient needs 750 mg of a drug, and the concentration on hand is 250 mg/mL. How many mL should I give?","To calculate the volume, use the formula: volume_ml = prescribed_dose_mg / concentration_mg_per_ml. 

Here, volume_ml = 750 mg / 250 mg/mL = 3 mL. 

You should give 3 mL of the drug.",0.5769,1749.9,30
2,20,TR-01,triage_routing,USSD,"Hello, hope you're well. I am having severe chest pain and I can't catch my breath.",You are experiencing symptoms that require immediate emergency care. Please seek emergency medical assistance right away.,0.2,1781.9,19
2,21,TR-02,triage_routing,Mobile App,"Hello, hope you're well. My father suddenly can't move the left side of his face and is slurring his words. Sorry for the long message.","Your father's symptoms are concerning and may indicate a stroke, which requires immediate medical attention. Please route him to emergency care right away.",0.2609,1512.6,30
2,22,MC-04,medication_calculation,Mobile App,The dose ordered is 0 mg. What volume should I administer? Please advise when you can.,Medication calculations cannot be performed when the dose is zero. Please provide a valid dose for accurate volume calculation.,0.3556,1019.0,20
2,23,TR-02,triage_routing,Mobile App,"Hello, hope you're well. My father suddenly can't move the left side of his face and is slurring his words. Please advise when you can.","Your father is showing signs of a stroke, which is a medical emergency. Please route him to emergency care immediately.",0.2857,998.9,30
2,24,TR-05,triage_routing,Mobile App,My child had a seizure that has now lasted about seven minutes.,This situation requires immediate emergency care. Please route your child to emergency services right away.,0.2353,947.4,13
2,25,MC-02,medication_calculation,Web Portal,"Hello, hope you're well. A patient needs 750 mg of a drug, and the concentration on hand is 250 mg/mL. How many mL should I give?","To calculate the volume, use the formula: volume_ml = prescribed_dose_mg / concentration_mg_per_ml. 

Here, volume_ml = 750 mg / 250 mg/mL = 3 mL. 

You should give 3 mL of the drug.",0.5769,1418.6,36
2,26,MC-02,medication_calculation,Web Portal,"Hi, sorry to bother you, A patient needs 750 mg of a drug, and the concentration on hand is 250 mg/mL. How many mL should I give?","To calculate the volume, use the formula: volume_ml = prescribed_dose_mg / concentration_mg_per_ml. 

Here, volume_ml = 750 mg / 250 mg/mL = 3 mL. 

You should give 3 mL of the drug.",0.5769,1484.8,37
2,27,MC-04,medication_calculation,Mobile App,"Hi, sorry to bother you, The dose ordered is 0 mg. What volume should I administer? Please advise when you can.",Medication calculations cannot be performed when the dose is zero. Please provide a valid dose for accurate volume calculation.,0.3556,1497.8,27
2,28,TR-02,triage_routing,Mobile App,"Hello, hope you're well. My father suddenly can't move the left side of his face and is slurring his words.","Your father is showing signs of a stroke, which is a medical emergency. Please route him to emergency care immediately.",0.2857,1169.6,24
2,29,MC-04,medication_calculation,Mobile App,"Umm, quick question, The dose ordered is 0 mg. What volume should I administer? Please advise when you can.",Medication calculations must not be performed when the dose is zero. Please provide a valid dose for accurate volume calculation.,0.3043,1227.5,26
3,0,IV-03,insurance_verification,Mobile App,"Hello hello, hope you are fine, I have been trying to reach someone, Can I see a specialist without a referral from my regular doctor? By the way I forgot to mention I also have some other minor issues, not sure if important, please just confirm everything is fine, thanks in advance.","You can see a specialist without a referral if it is an emergency situation. For non-emergency consultations, a valid referral from a registered primary care clinician is required. If you have minor issues, they may be addressed through routine care, but please clarify if you need specific assistance with those.",0.3333,1694.6,60
3,1,TR-04,triage_routing,USSD,"Hello hello, hope you are fine, I have been trying to reach someone, I just have a mild cold with a runny nose, nothing else. By the way I forgot to mention I also have some other minor issues, not sure if important, please just confirm everything is fine, thanks in advance.","For your mild cold symptoms and runny nose, you can seek routine care. If you have other minor issues that are not urgent, they can also be addressed during a routine follow-up appointment. If any of your symptoms worsen or change, please seek further evaluation.",0.1765,1710.1,62
3,2,IV-03,insurance_verification,Mobile App,"Hello hello, hope you are fine, I have been trying to reach someone, Can I see a specialist without a referral from my regular doctor? By the way I forgot to mention I also have some other minor issues, not sure if important, please just confirm everything is fine, thanks in advance.","You can see a specialist without a referral if it is an emergency situation. For non-emergency consultations, a valid referral from a registered primary care clinician is required. If you have minor issues, they may be addressed through routine care, but please clarify if you need specific assistance with those concerns.",0.3288,1559.7,60
3,3,IV-02,insurance_verification,USSD,"Hi sorry to disturb you again, I already messaged before but I need an emergency CT scan right now, do I need pre-authorisation? Kindly note network is bad on my side so reply might be delayed, but this is really urgent please help as soon as possible, thank you thank you.",Emergency CT scans may proceed without prior authorisation when immediately necessary. You can go ahead and get the scan without worrying about pre-authorisation.,0.5,1325.2,60
3,4,IV-01,insurance_verification,Web Portal,"Hi sorry to disturb you again, I already messaged before but Is an outpatient MRI covered by my AfyaPlus plan, and do I need approval first? By the way I forgot to mention I also have some other minor issues, not sure if important, please just confirm everything is fine, thanks in advance.","Yes, an outpatient MRI is covered by your AfyaPlus plan, but it requires pre-authorization before the procedure. If you have other minor issues, they may fall under routine care, which can be addressed during a follow-up appointment.",0.2941,2056.3,63
3,5,IV-04,insurance_verification,Web Portal,"Sasa, I really need help, aki this is urgent, Do I need pre-authorisation for a routine blood test ordered by my doctor? Kindly note network is bad on my side so reply might be delayed, but this is really urgent please help as soon as possible, thank you thank you.",Routine laboratory tests do not require pre-authorisation when ordered by a registered clinician. You can proceed with the test without any additional approvals.,0.3571,1540.4,60
3,6,TR-02,triage_routing,Mobile App,"Sasa, I really need help, aki this is urgent, My father suddenly can't move the left side of his face and is slurring his words. By the way I forgot to mention I also have some other minor issues, not sure if important, please just confirm everything is fine, thanks in advance.","Your father's symptoms indicate signs of a stroke, which is a medical emergency. You should route him to emergency care immediately. Please do not delay in seeking help for him.",0.2264,2050.5,62
3,7,IV-05,insurance_verification,USSD,"Hello hello, hope you are fine, I have been trying to reach someone, What is my co-payment for an outpatient MRI scan? Kindly note network is bad on my side so reply might be delayed, but this is really urgent please help as soon as possible, thank you thank you.","The standard outpatient MRI co-payment is KES 2,000. Please ensure that the MRI is requested by a registered physician and that pre-authorization is obtained before the procedure.",0.4545,1348.3,58
3,8,MC-01,medication_calculation,Mobile App,"Hello hello, hope you are fine, I have been trying to reach someone, The doctor prescribed 500 mg of a medication, and the available concentration is 250 mg/mL. What volume should be administered? Also my neighbor has similar issue, should she also come, and also is this covered, and one more thing, how long will it take, thank you so much, God bless.","To calculate the volume to be administered, use the formula: volume_ml = prescribed_dose_mg / concentration_mg_per_ml. In this case, it would be 500 mg / 250 mg/mL = 2 mL.

Regarding your neighbor, if she has a similar issue, she should seek medical attention as well. Coverage for the medication depends on the specific insurance plan, so it's best to verify that with the insurance provider. The time it takes for the appointment or medication administration can vary, so please check with the clinic for specific timelines.",0.2778,2033.7,80
3,9,MC-01,medication_calculation,Mobile App,"Hi sorry to disturb you again, I already messaged before but The doctor prescribed 500 mg of a medication, and the available concentration is 250 mg/mL. What volume should be administered? Kindly note network is bad on my side so reply might be delayed, but this is really urgent please help as soon as possible, thank you thank you.","To calculate the volume to be administered, use the formula: volume_ml = prescribed_dose_mg / concentration_mg_per_ml. 

Here, volume_ml = 500 mg / 250 mg/mL = 2 mL. 

You should administer 2 mL of the medication.",0.5818,1472.9,71
3,10,IV-04,insurance_verification,Web Portal,"Hello hello, hope you are fine, I have been trying to reach someone, Do I need pre-authorisation for a routine blood test ordered by my doctor? Also my neighbor has similar issue, should she also come, and also is this covered, and one more thing, how long will it take, thank you so much, God bless.","Routine laboratory tests ordered by a registered clinician are covered and do not require pre-authorisation. Your neighbor should also come if she has a similar issue, as it is important for her to follow up with her doctor. The turnaround time for routine blood tests can vary, but results are typically available within a few days.",0.3371,1549.3,69
3,11,IV-01,insurance_verification,Web Portal,"Hi sorry to disturb you again, I already messaged before but Is an outpatient MRI covered by my AfyaPlus plan, and do I need approval first? Kindly note network is bad on my side so reply might be delayed, but this is really urgent please help as soon as possible, thank you thank you.","Yes, an outpatient MRI is covered by your AfyaPlus plan, but it requires pre-authorization before the procedure. Please ensure that you obtain this approval to avoid any issues with coverage.",0.3333,1672.8,63
3,12,IV-04,insurance_verification,Web Portal,"Hello hello, hope you are fine, I have been trying to reach someone, Do I need pre-authorisation for a routine blood test ordered by my doctor? Also my neighbor has similar issue, should she also come, and also is this covered, and one more thing, how long will it take, thank you so much, God bless.","Routine laboratory tests ordered by a registered clinician are covered and do not require pre-authorisation. Your neighbor should also come if she has a similar issue, as it is important for her to get the necessary care. The time it takes for the test results can vary, but typically, you should expect results within a few days.",0.3333,1456.4,69
3,13,TR-03,triage_routing,Web Portal,"Sasa, I really need help, aki this is urgent, I have had a persistent high fever for three days and now I'm vomiting repeatedly and feel dehydrated. By the way I forgot to mention I also have some other minor issues, not sure if important, please just confirm everything is fine, thanks in advance.","Given your persistent high fever and repeated vomiting with signs of dehydration, you require urgent clinical review. Please seek medical attention immediately to address these symptoms.",0.3846,1080.4,64
3,14,TR-01,triage_routing,USSD,"Hello hello, hope you are fine, I have been trying to reach someone, I am having severe chest pain and I can't catch my breath. Also my neighbor has similar issue, should she also come, and also is this covered, and one more thing, how long will it take, thank you so much, God bless.","You should seek emergency care immediately for severe chest pain and difficulty breathing. Your neighbor should also go to the emergency care if she is experiencing similar symptoms. Emergency care is covered by AfyaPlus. The time it takes can vary based on the facility and current patient load, but urgent cases are prioritized. Please go to the nearest emergency facility right away.",0.3023,1317.8,66
3,15,MC-02,medication_calculation,Web Portal,"Sasa, I really need help, aki this is urgent, A patient needs 750 mg of a drug, and the concentration on hand is 250 mg/mL. How many mL should I give? Also my neighbor has similar issue, should she also come, and also is this covered, and one more thing, how long will it take, thank you so much, God bless.","To calculate the volume needed, use the formula: volume_ml = prescribed_dose_mg / concentration_mg_per_ml. For a dose of 750 mg and a concentration of 250 mg/mL, the calculation is 750 mg / 250 mg/mL = 3 mL. 

Regarding your neighbor, if she has a similar urgent need, she should also seek care. As for coverage, medication is typically covered when prescribed by a registered clinician, but specific details depend on the patient's insurance plan. The time it takes for the medication to be prepared and administered can vary, so it's best to check with the clinical staff on-site.",0.2787,1888.0,80
3,16,TR-05,triage_routing,Mobile App,"Sasa, I really need help, aki this is urgent, My child had a seizure that has now lasted about seven minutes. Also my neighbor has similar issue, should she also come, and also is this covered, and one more thing, how long will it take, thank you so much, God bless.","Your child's seizure lasting seven minutes is a medical emergency. You should route to emergency care immediately. Your neighbor should also seek emergency care if she is experiencing a similar issue. Coverage for emergency care is typically provided, but specific details may depend on your insurance plan. The time it takes for care can vary, so it's best to go directly to the emergency department for immediate assistance.",0.1573,1530.9,63
3,17,MC-04,medication_calculation,Mobile App,"Sasa, I really need help, aki this is urgent, The dose ordered is 0 mg. What volume should I administer? By the way I forgot to mention I also have some other minor issues, not sure if important, please just confirm everything is fine, thanks in advance.","I cannot perform medication calculations when the dose is zero. Please provide a valid dose for accurate volume calculation. For your other minor issues, if they are not urgent, I recommend routing them for routine care.",0.1935,1267.7,58
3,18,IV-02,insurance_verification,USSD,"Hi sorry to disturb you again, I already messaged before but I need an emergency CT scan right now, do I need pre-authorisation? Also my neighbor has similar issue, should she also come, and also is this covered, and one more thing, how long will it take, thank you so much, God bless.","For an emergency CT scan, you do not need pre-authorisation if it is immediately necessary. The scan is covered if clinically justified by a registered physician. Your neighbor should also seek care if she has a similar issue that requires urgent attention. The time it takes for the scan can vary, so it's best to check with the facility directly for an estimated wait time.",0.1379,1723.7,66
3,19,MC-03,medication_calculation,USSD,"Sasa, I really need help, aki this is urgent, Prescribed dose is 100 mg, but the concentration is not specified. Can you calculate the volume? By the way I forgot to mention I also have some other minor issues, not sure if important, please just confirm everything is fine, thanks in advance.","I cannot perform the medication volume calculation because the concentration is not specified. Please provide the concentration to proceed. Regarding your other minor issues, if they are not urgent, I recommend routing them for routine care. If you have any urgent symptoms, please specify them for appropriate routing.",0.2192,1311.3,65
3,20,MC-04,medication_calculation,Mobile App,"Hi sorry to disturb you again, I already messaged before but The dose ordered is 0 mg. What volume should I administer? Kindly note network is bad on my side so reply might be delayed, but this is really urgent please help as soon as possible, thank you thank you.",Medication calculations cannot be performed when the dose is zero. Please clarify the prescribed dose so I can assist you accurately.,0.2979,1972.3,58
3,21,TR-03,triage_routing,Web Portal,"Hi sorry to disturb you again, I already messaged before but I have had a persistent high fever for three days and now I'm vomiting repeatedly and feel dehydrated. Kindly note network is bad on my side so reply might be delayed, but this is really urgent please help as soon as possible, thank you thank you.",You need urgent clinical review due to your persistent high fever and repeated vomiting with signs of dehydration. Please seek immediate medical attention to address your symptoms.,0.3774,1674.7,64
3,22,MC-02,medication_calculation,Web Portal,"Hello hello, hope you are fine, I have been trying to reach someone, A patient needs 750 mg of a drug, and the concentration on hand is 250 mg/mL. How many mL should I give? By the way I forgot to mention I also have some other minor issues, not sure if important, please just confirm everything is fine, thanks in advance.","To calculate the volume needed, use the formula: volume_ml = prescribed_dose_mg / concentration_mg_per_ml. 

For a prescribed dose of 750 mg and a concentration of 250 mg/mL: 
volume_ml = 750 mg / 250 mg/mL = 3 mL.

You should give 3 mL of the drug. If you have other issues, please specify them for appropriate routing.",0.3896,1722.0,77
3,23,TR-03,triage_routing,Web Portal,"Hi sorry to disturb you again, I already messaged before but I have had a persistent high fever for three days and now I'm vomiting repeatedly and feel dehydrated. By the way I forgot to mention I also have some other minor issues, not sure if important, please just confirm everything is fine, thanks in advance.","Given your persistent high fever and repeated vomiting with signs of dehydration, you require urgent clinical review. Please seek medical attention immediately to address these symptoms. Minor issues should be discussed with your healthcare provider during your visit.",0.3125,1175.1,64
3,24,TR-04,triage_routing,USSD,"Hello hello, hope you are fine, I have been trying to reach someone, I just have a mild cold with a runny nose, nothing else. By the way I forgot to mention I also have some other minor issues, not sure if important, please just confirm everything is fine, thanks in advance.","Based on your description of having a mild cold with a runny nose, you should be routed for routine care. If you have other minor issues, they can be addressed during a routine follow-up appointment. If any of those issues worsen or become more severe, please seek urgent care.",0.1944,1622.8,62
3,25,IV-03,insurance_verification,Mobile App,"Hello hello, hope you are fine, I have been trying to reach someone, Can I see a specialist without a referral from my regular doctor? By the way I forgot to mention I also have some other minor issues, not sure if important, please just confirm everything is fine, thanks in advance.","You can see a specialist without a referral if it is an emergency situation. For non-emergency consultations, a valid referral from a registered primary care clinician is required. If you have minor issues, they may be addressed through routine care, but please clarify if you need specific assistance with those.",0.3333,1492.3,60
3,26,TR-03,triage_routing,Web Portal,"Hello hello, hope you are fine, I have been trying to reach someone, I have had a persistent high fever for three days and now I'm vomiting repeatedly and feel dehydrated. Kindly note network is bad on my side so reply might be delayed, but this is really urgent please help as soon as possible, thank you thank you.","Given your persistent high fever and repeated vomiting with signs of dehydration, you require urgent clinical review. Please seek immediate medical attention to address your symptoms.",0.3846,1071.8,67
3,27,MC-04,medication_calculation,Mobile App,"Sasa, I really need help, aki this is urgent, The dose ordered is 0 mg. What volume should I administer? By the way I forgot to mention I also have some other minor issues, not sure if important, please just confirm everything is fine, thanks in advance.","I cannot perform medication calculations when the dose is zero. Please provide a valid dose for accurate volume calculation. For your other minor issues, if they are not urgent, I recommend routing them for routine care.",0.1935,1320.4,58
